"university","career","inscription_date","first_name","last_name","gender","age","postal_code","location","email"
"universidad nacional de jujuy","licenciatura en musicoterapia","2020/11/27","megan","lopez","f",55,8521,"arroyo de la ventana","reeddonald@yahoo.com"
"universidad nacional de jujuy","diseño industrial","2020/11/01","corey","alvarado","m",11,7406,"aldecon","shawnhunt@gmail.com"
"universidad nacional de jujuy","licenciatura en ciencias ambientales","2020/10/24","jessica","jordan","f",77,3586,"campo yaguarete","daymatthew@gmail.com"
"universidad nacional de jujuy","contador público ","2020/11/23","heather","williams","f",89,9031,"bajo la cancha","travissutton@yahoo.com"
"universidad nacional de jujuy","diseño de imagen y sonido","2020/09/22","jose","jones","m",18,5329,"amuschina","jennifer87@hotmail.com"
"universidad nacional de jujuy","diseño de imagen y sonido","2020/11/14","terry","shelton","m",96,5622,"colonia jauregui","kellerkristopher@yahoo.com"
"universidad nacional de jujuy","licenciatura en ciencias antropológicas","2020/09/12","brent","murray","m",85,1623,"barrio garin norte","elizabeth47@hotmail.com"
"universidad nacional de jujuy","licenciatura en producción de bioimagenes","2020/11/10","rebecca","hart","f",21,7412,"las hermanas","tammy58@hotmail.com"
"universidad nacional de jujuy","licenciatura en producción de bioimagenes","2020/09/29","joshua","henderson","m",110,8416,"anecon grande","tryan@hotmail.com"
"universidad nacional de jujuy","licenciatura en producción de bioimagenes","2020/12/07","jack","shannon","m",100,3734,"campo moreno","harrisalbert@yahoo.com"
"universidad nacional de jujuy","diseño industrial","2020/12/09","vanessa","martin","f",73,1891,"ingeniero allan","matthew92@gmail.com"
"universidad nacional de jujuy","licenciatura en ciencias antropológicas","2021/01/30","tyler","horne","m",79,5773,"cañada","aaronlarsen@hotmail.com"
"universidad nacional de jujuy","licenciatura en ciencias antropológicas","2021/01/30","tyler","horne","m",79,4129,"cañada","aaronlarsen@hotmail.com"
"universidad nacional de jujuy","ingeniería en informática","2021/01/07","robert","brown","m",63,2000,"villa angelica","cantuthomas@gmail.com"
"universidad nacional de jujuy","agronomía","2021/01/11","frank","obrien","m",97,1713,"barrio parque leloir","scurry@yahoo.com"
"universidad nacional de jujuy","licenciatura en relaciones del trabajo ","2020/12/18","dr.","stacie","f",48,7241,"la porteña","bryantsydney@yahoo.com"
"universidad nacional de jujuy","ingeniería electrónica","2020/09/19","kyle","rose","m",101,4701,"acostilla","agilbert@gmail.com"
"universidad nacional de jujuy","ingeniería electrónica","2020/09/19","kyle","rose","m",101,4113,"acostilla","agilbert@gmail.com"
"universidad nacional de jujuy","licenciatura en ciencias de la educación ","2020/12/18","jasmine","medina","f",95,8212,"abramo","zachary43@hotmail.com"
"universidad nacional de jujuy","diseño industrial","2020/12/05","rebecca","padilla","f",19,8201,"25 de mayo","rhampton@yahoo.com"
"universidad nacional de jujuy","diseño industrial","2020/12/05","rebecca","padilla","f",19,6660,"25 de mayo","rhampton@yahoo.com"
"universidad nacional de jujuy","diseño industrial","2020/12/05","rebecca","padilla","f",19,5615,"25 de mayo","rhampton@yahoo.com"
"universidad nacional de jujuy","diseño industrial","2020/12/05","rebecca","padilla","f",19,4242,"25 de mayo","rhampton@yahoo.com"
"universidad nacional de jujuy","diseño industrial","2020/12/05","rebecca","padilla","f",19,3363,"25 de mayo","rhampton@yahoo.com"
"universidad nacional de jujuy","ingeniería electrónica","2020/10/07","melissa","swanson","f",22,6365,"azteazu","jenniferstrickland@gmail.com"
"universidad nacional de jujuy","licenciatura en musicoterapia","2021/01/24","juan","hicks","m",66,3228,"cabi monda","gibsoncheryl@yahoo.com"
"universidad nacional de jujuy","licenciatura en relaciones del trabajo ","2020/09/24","kristina","bush","f",47,7101,"cerro de la gloria canal 15","benjamindean@hotmail.com"
"universidad nacional de jujuy","farmacia","2020/10/21","christina","wells","f",112,8200,"colonia lia y allende","qwells@yahoo.com"
"universidad nacional de jujuy","actuario ","2020/12/23","michael","chapman","m",35,8505,"emilio lamarca","natalie99@hotmail.com"
"universidad nacional de jujuy","licenciatura en producción de bioimagenes","2020/10/20","brandon","martin","m",96,9033,"aldea apeleg","michellesherman@yahoo.com"
"universidad nacional de jujuy","arquitectura","2020/11/09","richard","perez","m",12,5517,"cespedes","christopherball@yahoo.com"
"universidad nacional de jujuy","licenciatura en ciencias geológicas","2020/10/09","james","padilla","m",41,2754,"campo crisol","marshallbrian@gmail.com"
"universidad nacional de jujuy","licenciatura en musicoterapia","2020/09/07","caroline","humphrey","f",6,4651,"agua de castilla","gsnyder@hotmail.com"
"universidad nacional de jujuy","licenciatura en ciencias de la educación ","2020/12/07","jamie","taylor","f",57,3051,"alejandra","daviseddie@yahoo.com"
"universidad nacional de jujuy","técnico para bioterios ","2020/10/12","christopher","obrien","m",23,2635,"cañada del ucle","dawncole@gmail.com"
"universidad nacional de jujuy","bioquímica","2020/10/29","anthony","ruiz","m",17,8203,"la chirlandia","kellysamuel@gmail.com"
"universidad nacional de jujuy","ingeniería electrónica","2020/11/10","sharon","day","f",53,6077,"encina","gardnertimothy@gmail.com"
"universidad nacional de jujuy","actuario ","2020/09/23","victoria","wolfe","f",20,6407,"girodias","howardvictor@yahoo.com"
"universidad nacional de jujuy","licenciatura en ciencia política ","2020/10/04","spencer","dominguez","m",88,3138,"alcaraz 2do","bparsons@hotmail.com"
"universidad nacional de jujuy","licenciatura en ciencias geológicas","2020/10/03","tina","thomas","f",116,7507,"el bombero","cassiebrewer@yahoo.com"
"universidad nacional de jujuy","licenciatura en ciencia política ","2020/10/15","debra","davis","f",74,4707,"chañarcito","mooreandrea@hotmail.com"
"universidad nacional de jujuy","medicina","2020/11/02","andre","anderson","m",56,4230,"brea chimpana","arivera@hotmail.com"
"universidad nacional de jujuy","licenciatura en musicoterapia","2020/09/14","carolyn","clark","f",53,3109,"colonia centenario","jordanleslie@hotmail.com"
"universidad nacional de jujuy","diseño de imagen y sonido","2021/01/19","jorge","miller","m",25,3254,"colonia la blanquita","sherri64@hotmail.com"
"universidad nacional de jujuy","ingeniería mecánica","2020/11/27","andrea","molina","f",88,2342,"campo el mataco","luisconley@gmail.com"
"universidad nacional de jujuy","arquitectura","2020/09/17","jimmy","taylor","m",17,7160,"la union","xcollins@gmail.com"
"universidad nacional de jujuy","ingeniería en informática","2020/11/06","elizabeth","cox","f",88,5773,"cañada","hughesandrew@yahoo.com"
"universidad nacional de jujuy","ingeniería en informática","2020/11/06","elizabeth","cox","f",88,4129,"cañada","hughesandrew@yahoo.com"
"universidad nacional de jujuy","arquitectura","2021/01/15","stephanie","williamson","f",47,3036,"aromos","patrickcrawford@hotmail.com"
"universidad nacional de jujuy","farmacia","2020/11/26","derek","robinson","m",23,7260,"barrio villa saladillo","kathleenmitchell@yahoo.com"
"universidad nacional de jujuy","licenciatura en ciencia política ","2021/01/11","melissa","moore","f",66,5367,"cachiyuyal","erin97@yahoo.com"
"universidad nacional de jujuy","licenciatura en terapia ocupacional","2021/01/06","christopher","bennett","m",106,1609,"boulogne","valenzuelacarolyn@yahoo.com"
"universidad nacional de jujuy","diseño industrial","2020/12/06","tonya","hancock","f",56,5724,"alto pencoso","christophermason@gmail.com"
"universidad nacional de jujuy","licenciatura en psicología","2020/09/07","michael","pacheco","m",81,3731,"meson de fierro","erosario@yahoo.com"
"universidad nacional de jujuy","farmacia","2020/10/13","lauren","long","f",77,5443,"algarrobo verde","williamsonrebecca@gmail.com"
"universidad nacional de jujuy","agronomía","2020/09/29","anita","drake","f",109,3272,"colonia 1 de mayo","mendozacorey@yahoo.com"
"universidad nacional de jujuy","diseño industrial","2020/09/30","elizabeth","hickman","f",108,7113,"la lucila del mar","rachelyang@gmail.com"
"universidad nacional de jujuy","licenciatura en ciencias ambientales","2020/09/12","benjamin","hernandez","m",13,5272,"comandante leal","andrew91@hotmail.com"
"universidad nacional de jujuy","licenciatura en gestión de agroalimentos","2020/10/28","jesse","cohen","m",8,3153,"kilmetro 165","anguyen@yahoo.com"
"universidad nacional de jujuy","agronomía","2020/11/08","mark","greer","m",28,6005,"estacion general arenales","tstanley@hotmail.com"
"universidad nacional de jujuy","técnico para bioterios ","2020/10/09","katie","hamilton","f",50,5755,"alto del molle","tthompson@gmail.com"
"universidad nacional de jujuy","licenciatura en ciencia y tecnología de alimentos","2020/10/26","jeffrey","le","m",108,7174,"arroyo grande","amandadavis@hotmail.com"
