"university","career","inscription_date","first_name","last_name","gender","postal_code","location","correos_electronicos"
"universidad_nacional_de_tres_de_febrero","ingeniería_electrónica","12/Dec/20","jason","mahoney","m",6315,"COLONIA BARON","denise97@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_de_la_computación","27/Oct/20","ashley","allen","f",5444,"AMPACAMA","xclark@hotmail.com"
"universidad_nacional_de_tres_de_febrero","arquitectura","23/Oct/20","crystal","robles","f",8134,"ARGERICH","burkedaniel@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_producción_de_bioimagenes","08/Sep/20","diana","freeman","f",6365,"AZTEAZU","derek88@yahoo.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_biológicas","25/Oct/20","nicholas","vega","m",4616,"BARCENA","rhonda86@hotmail.com"
"universidad_nacional_de_tres_de_febrero","diseño_industrial","20/Sep/20","joshua","hill","m",7249,"EL ARAZA","kbarajas@gmail.com"
"universidad_nacional_de_tres_de_febrero","ciencias_veterinarias","22/Nov/20","william","williams","m",3201,"CAMBA PASO","aaron00@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_producción_de_bioimagenes","25/Jan/21","gary","edwards","m",8319,"CAMPAMENTO SOL","baileychris@gmail.com"
"universidad_nacional_de_tres_de_febrero","bioquímica","19/Jan/21","jennifer","lee","f",5360,"CHILECITO","jamiewilliams@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencia_y_tecnología_de_alimentos","11/Oct/20","david","white","m",1706,"HAEDO","shortdebra@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_artes","29/Oct/20","joseph","smith","m",6309,"ALPACHIRI","kayleelewis@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_gestión_de_agroalimentos","20/Oct/20","michael","barker","m",3122,"ARROYO CORRALITO","bryan82@yahoo.com"
"universidad_nacional_de_tres_de_febrero","bioquímica","01/Sep/20","laurie","patterson","f",3023,"CULULU","montgomerydaniel@yahoo.com"
"universidad_nacional_de_tres_de_febrero","bioquímica","08/Oct/20","matthew","campbell","m",6380,"BOEUF","sullivanamber@gmail.com"
"universidad_nacional_de_tres_de_febrero","ingeniería_electrónica","14/Nov/20","thomas","colon","m",1875,"WILDE","misty40@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_biológicas","27/Jan/21","erin","chaney","f",5327,"CAPIHUAS","hcole@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_antropológicas","08/Oct/20","luis","adams","m",3318,"BONPLAND NORTE","jessicawells@yahoo.com"
"universidad_nacional_de_tres_de_febrero","contador_público_","29/Dec/20","chelsea","thomas","f",6409,"JOSE MARIA BLANCO","gkane@gmail.com"
"universidad_nacional_de_tres_de_febrero","agronomía","09/Dec/20","jessica","bailey","f",5473,"AGUAYO","donaldruiz@hotmail.com"
"universidad_nacional_de_tres_de_febrero","diseño_de_imagen_y_sonido","16/Sep/20","jessica","porter","f",1895,"ARTURO SEGUI","vaguilar@hotmail.com"
"universidad_nacional_de_tres_de_febrero","bioquímica","04/Oct/20","kiara","burke","f",9053,"AGUADA GRANDE","roberthenry@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_antropológicas","06/Dec/20","dawn","dixon","f",1846,"ADROGUE","tina37@yahoo.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_antropológicas","27/Jan/21","alexis","kerr","f",6537,"EL CAMOATI","banderson@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_producción_de_bioimagenes","26/Nov/20","raymond","sanchez","m",6228,"AGUAS BUENAS","nthompson@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_ambientales","03/Jan/21","andrea","harrison","f",2170,"CANDELARIA SUD","judithmiller@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_biológicas","11/Dec/20","michael","ewing","m",5634,"BOWEN","qware@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_de_la_educación_","06/Dec/20","kristina","franklin","f",3541,"CAMPO LAS PUERTAS","andrewtaylor@yahoo.com"
"universidad_nacional_de_tres_de_febrero","diseño_de_imagen_y_sonido","21/Sep/20","bridget","hampton","f",1876,"BERNAL ESTE","gregory00@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_relaciones_del_trabajo_","30/Sep/20","cody","vaughn","m",1631,"VILLA ROSA","nichole69@gmail.com"
"universidad_nacional_de_tres_de_febrero","diseño_de_imagen_y_sonido","28/Jan/21","amber","davis","f",3272,"COLONIA 1 DE MAYO","nathan55@gmail.com"
"universidad_nacional_de_tres_de_febrero","medicina","28/Sep/20","edward","stanley","m",1838,"LUIS GUILLON","breannarush@hotmail.com"
"universidad_nacional_de_tres_de_febrero","medicina","06/Oct/20","richard","miller","m",5321,"EL POTRERO","hmoses@yahoo.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_relaciones_del_trabajo_","28/Jan/21","daniel","miller","m",6071,"BERMUDEZ","gary63@yahoo.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_biológicas","28/Nov/20","david","martin","m",9003,"BAHIA SOLANO","dianacampbell@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_de_la_educación_","09/Oct/20","todd","jones","m",6559,"RECALDE","vmejia@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_geológicas","07/Nov/20","angela","horton","f",5461,"AGUADA DE LA PEÑA","fredmartinez@gmail.com"
"universidad_nacional_de_tres_de_febrero","medicina","26/Dec/20","joseph","fowler","m",3569,"BARROS PAZOS","hsnyder@gmail.com"
"universidad_nacional_de_tres_de_febrero","diseño_industrial","22/Oct/20","mrs.","stephanie","f",2707,"4 DE NOVIEMBRE","gpeterson@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_administración_","08/Dec/20","mr.","aaron","m",6230,"FRANCISCO CASAL","williamsantiago@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_de_la_educación_","20/Jan/21","ruben","garner","m",7545,"HUANGUELEN","vburton@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_terapia_ocupacional","16/Nov/20","amber","cohen","f",3234,"BONPLAND","michael33@hotmail.com"
"universidad_nacional_de_tres_de_febrero","agronomía","04/Jan/21","jackson","conrad","m",6269,"LA COLINA","jessica99@hotmail.com"
"universidad_nacional_de_tres_de_febrero","técnico_para_bioterios_","02/Dec/20","kristen","jones","f",1854,"LONGCHAMPS","wwilkins@hotmail.com"
"universidad_nacional_de_tres_de_febrero","ingeniería_en_informática","25/Dec/20","christopher","martin","m",4504,"23 DE AGOSTO","rebeccamichael@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_geológicas","26/Sep/20","mark","hull","m",4612,"CARAHUNCO","crystal94@yahoo.com"
"universidad_nacional_de_tres_de_febrero","ingeniería_mecánica","20/Dec/20","lucas","durham","m",5759,"CALERA ARGENTINA","matthew22@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_geológicas","23/Jan/21","dale","gray","m",3376,"GOBERNADOR LANUSSE","lauren32@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_relaciones_del_trabajo_","29/Nov/20","diana","taylor","f",6030,"EDMUNDO PERKINS","williamsonashley@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_artes","13/Dec/20","cheryl","boyle","f",3718,"AMAMBAY","jason96@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_de_la_computación","23/Oct/20","amanda","harding","f",3206,"BELLA UNION PARAJE","wilsondavid@gmail.com"
"universidad_nacional_de_tres_de_febrero","técnico_para_bioterios_","28/Nov/20","david","grant","m",9017,"CAMERON","ronaldbecker@yahoo.com"
"universidad_nacional_de_tres_de_febrero","diseño_de_imagen_y_sonido","10/Oct/20","frank","villa","m",5590,"ADRIAN MATURANO","matthewmyers@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencia_y_tecnología_de_alimentos","30/Nov/20","ryan","morse","m",3324,"GOBERNADOR ROCA","holmesdanielle@yahoo.com"
"universidad_nacional_de_tres_de_febrero","arquitectura","28/Oct/20","candice","thompson","f",9030,"RIO MAYO","smithsarah@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_gestión_de_agroalimentos","28/Oct/20","darius","ross","m",3083,"GRUTLY","angelacalderon@yahoo.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_terapia_ocupacional","04/Dec/20","james","schultz","m",1718,"SAN ANTONIO DE PADUA","rebecca74@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_de_la_educación_","10/Dec/20","jamie","booth","f",3380,"9 DE JULIO KILOMETRO 20","joshua94@yahoo.com"
"universidad_nacional_de_tres_de_febrero","ingeniería_electrónica","27/Oct/20","stephen","allen","m",7135,"COMANDANTE GIRIBONE","changjohn@hotmail.com"
"universidad_nacional_de_tres_de_febrero","ingeniería_electrónica","27/Jan/21","margaret","bender","f",6346,"PELLEGRINI","castanedapamela@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_planificación_y_diseño_del_paisaje","17/Sep/20","gail","green","f",6013,"BAIGORRITA","robertdiaz@gmail.com"
"universidad_nacional_de_tres_de_febrero","medicina","28/Sep/20","connie","butler","f",6530,"CARLOS CASARES","erin69@gmail.com"
"universidad_nacional_de_tres_de_febrero","diseño_de_imagen_y_sonido","25/Sep/20","bryan","carlson","m",1897,"MANUEL B GONNET","jadebraun@yahoo.com"
"universidad_nacional_de_tres_de_febrero","medicina","08/Jan/21","michelle","contreras","f",1856,"GLEW","kristen11@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_psicología","25/Jan/21","daniel","martinez","m",5750,"ALTO DE LA LEÑA","francisco29@hotmail.com"
"universidad_nacional_de_tres_de_febrero","bioquímica","08/Sep/20","brian","guerra","m",4514,"CALILEGUA","padillarachel@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_de_la_computación","28/Jan/21","paul","hernandez","m",2000,"VILLA ANGELICA","bwalters@yahoo.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_producción_de_bioimagenes","29/Jan/21","kyle","hendrix","m",8168,"SIERRA DE LA VENTANA","cartertammy@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_producción_de_bioimagenes","28/Nov/20","patrick","brown","m",1672,"VILLA LYNCH","larryalexander@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_psicología","05/Sep/20","jacqueline","hess","f",4153,"ALTO VERDE","christinebrown@gmail.com"
"universidad_nacional_de_tres_de_febrero","técnico_para_bioterios_","15/Jan/21","gregory","wilkins","m",3111,"ALMACEN CRISTIAN SCHUBERT","hdavis@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_relaciones_del_trabajo_","06/Nov/20","samantha","carter","f",2454,"CAÑADA ROSQUIN","dolsen@yahoo.com"
"universidad_nacional_de_tres_de_febrero","contador_público_","08/Oct/20","charles","wade","m",5340,"AGUA GRANDE","bdavis@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_geológicas","08/Oct/20","teresa","fernandez","f",5607,"COLONIA BOMBAL Y TABANERA","kellybennett@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_ambientales","11/Jan/21","nancy","baker","f",4129,"CAÑADA","tshields@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_musicoterapia","02/Oct/20","henry","drake","m",6743,"COLIQUEO","darren52@gmail.com"
"universidad_nacional_de_tres_de_febrero","ingeniería_mecánica","14/Dec/20","jimmy","caldwell","m",5755,"ALTO DEL MOLLE","fuentesamy@hotmail.com"
"universidad_nacional_de_tres_de_febrero","contador_público_","09/Sep/20","brad","robles","m",1741,"ENRIQUE FYNN","pnguyen@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_administración_","17/Jan/21","jay","gomez","m",2639,"BERABEVU","robinmorrow@hotmail.com"
"universidad_nacional_de_tres_de_febrero","ingeniería_electrónica","25/Jan/21","larry","valdez","m",1927,"ESC NAV MILITAR RIO SANT","tyoung@hotmail.com"
"universidad_nacional_de_tres_de_febrero","agronomía","31/Oct/20","keith","simon","m",5341,"ANILLACO","qhurley@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_geológicas","20/Jan/21","daniel","ross","m",3208,"COLONIA ENSANCHE SAUCE","zrichardson@yahoo.com"
"universidad_nacional_de_tres_de_febrero","bioquímica","06/Jan/21","gregory","frank","m",6467,"EL TRIO","mayselizabeth@yahoo.com"
"universidad_nacional_de_tres_de_febrero","ingeniería_electrónica","25/Oct/20","thomas","green","m",5519,"ALTO DE LAS ARAÑAS","holtdaniel@yahoo.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_biológicas","06/Jan/21","patricia","garcia","f",2506,"CORREA","benjaminmckinney@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_terapia_ocupacional","05/Oct/20","mrs.","lisa","f",3416,"ARROYO CEIBAL","masonnicholas@gmail.com"
"universidad_nacional_de_tres_de_febrero","arquitectura","14/Sep/20","anthony","phillips","m",5607,"COLONIA BOMBAL Y TABANERA","qjames@yahoo.com"
"universidad_nacional_de_tres_de_febrero","medicina","03/Jan/21","derek","hampton","m",3463,"ARISTIA","ysmith@gmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_terapia_ocupacional","21/Nov/20","philip","garcia","m",1903,"ABASTO","robinwatts@hotmail.com"
"universidad_nacional_de_tres_de_febrero","licenciatura_en_ciencias_de_la_educación_","28/Sep/20","mr.","jason","m",2000,"VILLA ANGELICA","ddoyle@yahoo.com"
"universidad_nacional_de_tres_de_febrero","ingeniería_en_informática","09/Jan/21","michelle","williams","f",5351,"BANDA FLORIDA","jharrison@gmail.com"
